,Sf Contact ID,Sf Opportunity ID,Sf Course C ID,Sf Course C Name,Sf Course C Course Start Date C Date,Sf Course C Course End Date C Date,Sf Course C Final Grade C,Sf Opportunity Application Type C,Sf Opportunity Program Category,Sf Opportunity Program C
213,0033600000NoZYNAA3,0063600000AAj9tAAD,,,,,,Colorado State University-Global,University,B.S. in Business Management
214,0033600000NnyC6AAJ,0063600000AAjKDAA1,,,,,,Guild Education,Lead Gen - Secondary,High School Equivalency Program (GED Prep)
215,0033600000NoplNAAR,0063600000AAjiVAAT,,,,,,Colorado State University-Global,University,B.S. in Business Management
216,0033600000NoYwXAAV,0063600000AAkcAAAT,,,,,,Guild Education,Credential,Management Training Program - 16 Week
217,00336000013jvnfAAA,0063600000AAkhvAAD,,,,,,Colorado State University-Global,University,B.S. in Accounting
218,0033600000Nov2qAAB,0063600000AAkjDAAT,,,,,,Bellevue University,University,Master of Science in Human Resources Strategic Management
219,0033600000NovzTAAR,0063600000AAkjXAAT,,,,,,Colorado State University-Global,University,B.S. in Healthcare Administration and Management
220,0033600000NoYwSAAV,0063600000AAklsAAD,,,,,,Colorado State University-Global,University,B.S. in Business Management
221,0033600000NnwveAAB,0063600000AAlD8AAL,,,,,,Colorado State University-Global,University,B.S. in Organizational Leadership
222,0033600000NoEO7AAN,0063600000AAlF3AAL,,,,,,Colorado State University-Global,University,B.S. in Business Management
223,0033600000NoopGAAR,0063600000AAlLCAA1,,,,,,Colorado State University-Global,University,B.S. in Human Resources Management
224,0033600000NozNZAAZ,0063600000AAmjNAAT,,,,,,Colorado State University-Global,University,B.S. in Business Management
225,0033600000L87k3AAB,0063600000AAvPFAA1,,,,,,Western Governors University,University,B.A. in Interdisciplinary Studies (K-8)
226,0033600000i3ihFAAQ,0063600000AAvVXAA1,,,,,,Colorado State University-Global,University,B.S. in Business Management
227,0033600000NozY5AAJ,0063600000AAwL1AAL,,,,,,Colorado State University-Global,University,B.S. in Business Management
